time,Avior,Josephine
1422,0,0
1423,12,0
1424,0,0
1425,0,0
1426,0,0
1427,0,0
1428,0,0
1429,28,0
1430,0,10
1431,0,7
1432,0,10
1433,0,0
1434,0,0
1435,0,0
1436,0,0
1437,0,0
1438,0,0
1439,0,5
1440,0,0
1441,0,0
1442,0,0
1443,0,0
1444,0,0
1445,0,0
1446,0,0
1447,0,0
1448,0,0
1449,0,0
1450,0,7
1451,0,5
1452,0,0
1453,0,0
1454,0,0
1455,0,0
1456,0,0
1457,0,20
1458,0,0
1459,0,0
1460,0,0
1461,0,0
1462,0,0
1463,0,0
1464,0,0
1465,0,0
1466,0,0
1467,0,0
1468,0,0
1469,0,0
1470,0,0
1471,0,0
1472,0,6
1473,0,9
1474,0,0
1475,0,0
1476,0,0
1477,0,0
1478,0,0
1479,0,0
1480,0,10
1481,0,4
1482,0,0
1483,0,0
1484,0,5
1485,0,26
1486,26,394
1487,33,348
1488,16,209
1489,40,61
1490,26,39
1491,90,0
1492,55,0
1493,0,0
1494,0,0
1495,15,155
1496,0,432
1497,4,227
1498,0,302
1499,5,14
1500,0,0
1501,0,49
1502,0,76
1503,0,62
1504,0,0
1505,0,0
1506,0,0
1507,0,0
1508,0,40
1509,0,0
1510,0,129
1511,6,26
1512,0,0
1513,0,6
1514,523,50
1515,131,10
1516,6,0
1517,0,0
1518,0,0
1519,6,0
1520,0,0
1521,0,0
1522,16,79
1523,0,198
1524,0,0
1525,0,0
1526,0,0
1527,0,0
1528,0,0
1529,0,0
1530,0,0
1531,0,0
1532,0,0
1533,0,0
1534,0,0
1535,11,8
1536,36,4
1537,0,21
1538,0,11
1539,0,0
1540,0,0
1541,10,0
1542,0,0
1543,0,0
1544,27,0
1545,0,0
1546,0,0
1547,0,0
1548,0,0
1549,0,0
1550,0,0
1551,0,0
1552,0,5
1553,0,6
1554,16,12
1555,7,0
1556,0,12
1557,0,0
1558,0,0
1559,0,29
1560,0,0
1561,81,0
1562,0,0
1563,0,101
1564,0,24
1565,0,18
1566,0,9
1567,0,5
1568,0,19
1569,77,5
1570,138,467
1571,6,435
1572,65,251
1573,62,291
1574,519,160
1575,316,321
1576,449,569
1577,37,620
1578,354,34
1579,485,292
1580,0,54
1581,179,46
1582,746,605
1583,714,88
1584,760,350
1585,848,576
1586,455,6
1587,1221,64
1588,832,19
1589,878,122
1590,768,223
1591,806,160
1592,872,6
1593,737,230
1594,722,384
1595,815,105
1596,709,165
1597,526,122
1598,126,15
1599,167,287
1600,324,23
1601,532,446
1602,396,23
1603,217,0
1604,147,12
1605,279,469
1606,70,0
1607,194,23
1608,340,19
1609,158,0
1610,24,0
1611,0,0
1612,0,0
1613,0,6
1614,0,165
1615,0,0
1616,0,0
1617,156,54
1618,322,24
1619,43,11
1620,0,0
1621,0,0
1622,0,0
1623,0,0
1624,0,0
1625,0,0
1626,0,0
1627,0,0
1628,0,0
1629,0,0
1630,0,0
1631,0,0
1632,0,0
1633,0,0
1634,0,0
1635,0,0
1636,17,0
1637,0,35
1638,0,29
1639,0,0
1640,0,0
1641,0,0
1642,0,0
1643,0,0
1644,0,0
1645,0,0
1646,0,4
1647,0,243
1648,0,14
1649,0,11
1650,0,7
1651,0,0
1652,0,0
1653,24,4
1654,31,0
1655,6,0
1656,6,0
1657,4,0
1658,0,0
1659,0,0
1660,0,0
1661,0,0
1662,0,0
1663,0,0
1664,0,0
1665,24,32
1666,0,126
1667,0,0
1668,0,0
1669,0,9
1670,5,17
1671,112,21
1672,264,18
1673,45,34
1674,16,11
1675,0,0
1676,0,0
1677,0,0
1678,15,0
1679,0,0
1680,0,0
1681,0,0
1682,0,0
1683,0,0
1684,0,23
1685,0,21
1686,0,0
1687,0,0
1688,0,0
1689,0,0
1690,0,0
1691,0,0
1692,0,0
1693,0,0
1694,0,0
1695,0,0
1696,0,0
1697,0,11
1698,0,0
1699,36,0
1700,0,0
1701,25,0
1702,5,0
1703,0,568
1704,0,282
1705,0,5
1706,5,0
1707,173,0
1708,192,0
1709,239,0
1710,101,0
1711,180,0
1712,97,0
1713,334,0
1714,210,0
1715,155,0
1716,0,0
1717,355,0
1718,280,0
1719,379,0
1720,242,0
1721,235,24
1722,0,246
1723,0,345
1724,7,440
1725,5,436
1726,14,65
1727,6,7
1728,17,0
1729,8,0
1730,9,0
1731,4,0
1732,95,0
